language,basis,bin,n,bert_acc,dual_acc,dual_only,bert_only,both,neither
dutch,label,0,186,0.6559139784946236,0.7150537634408602,36,25,97,28
dutch,label,1,165,0.6484848484848484,0.7333333333333333,41,27,80,17
dutch,edit_distance_norm,0,0,,,0,0,0,0
dutch,edit_distance_norm,"(0,0.2]",36,0.8333333333333334,0.75,5,8,22,1
dutch,edit_distance_norm,"(0.2,0.4]",59,0.6610169491525424,0.711864406779661,10,7,32,10
dutch,edit_distance_norm,"(0.4,0.6]",64,0.65625,0.78125,18,10,32,4
dutch,edit_distance_norm,"(0.6,0.8]",96,0.5833333333333334,0.71875,25,12,44,15
dutch,edit_distance_norm,"(0.8,1.0]",96,0.6458333333333334,0.6875,19,15,47,15
dutch,char_jaccard,0,13,0.5384615384615384,0.7692307692307693,5,2,5,1
dutch,char_jaccard,"(0,0.2]",67,0.582089552238806,0.7164179104477612,17,8,31,11
dutch,char_jaccard,"(0.2,0.4]",94,0.6382978723404256,0.7446808510638298,23,13,47,11
dutch,char_jaccard,"(0.4,0.6]",77,0.6103896103896104,0.6623376623376623,17,13,34,13
dutch,char_jaccard,"(0.6,0.8]",50,0.68,0.76,11,7,27,5
dutch,char_jaccard,"(0.8,1.0]",50,0.84,0.74,4,9,33,4
dutch,len_diff,0,38,0.6052631578947368,0.7894736842105263,12,5,18,3
dutch,len_diff,1,92,0.6413043478260869,0.7065217391304348,16,10,49,17
dutch,len_diff,2,118,0.7203389830508474,0.711864406779661,23,24,61,10
dutch,len_diff,3-5,84,0.5952380952380952,0.7023809523809523,20,11,39,14
dutch,len_diff,6+,19,0.631578947368421,0.8421052631578947,6,2,10,1
