word1,word2,label,bert_pred,dual_pred,edit_distance,edit_distance_norm,char_jaccard,len_diff,bert_correct,dual_correct,category,ed_bin,jaccard_bin,len_diff_bin
17th,seventeenth,0,0,0,9,0.8181818181818182,0.25,7,True,True,both,"(0.8,1.0]","(0.2,0.4]",6+
abandon,continue,1,1,1,7,0.875,0.2,1,True,True,both,"(0.8,1.0]","(0,0.2]",1
abandon,keep,1,0,1,7,1.0,0.0,3,False,True,dual_only,"(0.8,1.0]",0,3-5
abductor,adductor,1,1,1,1,0.125,0.875,0,True,True,both,"(0,0.2]","(0.8,1.0]",0
abet,encourage,0,0,0,8,0.8888888888888888,0.2,5,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
abide,tolerate,0,1,0,7,0.875,0.2222222222222222,3,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",3-5
ability,power,0,0,0,7,1.0,0.0,2,True,True,both,"(0.8,1.0]",0,2
able,effective,0,0,0,8,0.8888888888888888,0.1111111111111111,5,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
able,skillful,0,0,0,7,0.875,0.1111111111111111,4,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
able,unable,1,1,1,2,0.3333333333333333,0.6666666666666666,2,True,True,both,"(0.2,0.4]","(0.6,0.8]",2
abnormal,odd,0,1,0,7,0.875,0.125,5,False,True,dual_only,"(0.8,1.0]","(0,0.2]",3-5
abolish,abrogate,0,0,0,5,0.625,0.2727272727272727,1,True,True,both,"(0.6,0.8]","(0.2,0.4]",1
abolish,found,1,0,1,6,0.8571428571428571,0.09090909090909091,2,False,True,dual_only,"(0.8,1.0]","(0,0.2]",2
aboral,oral,1,1,1,2,0.3333333333333333,0.8,2,True,True,both,"(0.2,0.4]","(0.6,0.8]",2
abrasive,smooth,1,1,1,8,1.0,0.09090909090909091,2,True,True,both,"(0.8,1.0]","(0,0.2]",2
abrupt,rough,0,0,0,5,0.8333333333333334,0.2222222222222222,1,True,True,both,"(0.8,1.0]","(0.2,0.4]",1
abrupt,unexpected,0,0,0,8,0.8,0.2727272727272727,4,True,True,both,"(0.6,0.8]","(0.2,0.4]",3-5
absolute,incomplete,1,1,0,6,0.6,0.3076923076923077,2,True,False,bert_only,"(0.4,0.6]","(0.2,0.4]",2
absolute,positive,0,1,0,6,0.75,0.36363636363636365,0,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",0
abstain,take,1,0,1,5,0.7142857142857143,0.25,3,False,True,dual_only,"(0.6,0.8]","(0.2,0.4]",3-5
abstraction,generalization,0,1,1,8,0.5714285714285714,0.46153846153846156,3,False,False,neither,"(0.4,0.6]","(0.4,0.6]",3-5
abstract,nonobjective,0,1,0,10,0.8333333333333334,0.25,4,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",3-5
abstract,representational,1,0,1,14,0.875,0.3333333333333333,8,False,True,dual_only,"(0.8,1.0]","(0.2,0.4]",6+
abstract,whole,1,0,1,8,1.0,0.0,3,False,True,dual_only,"(0.8,1.0]",0,3-5
absurd,inconsistent,0,1,0,11,0.9166666666666666,0.08333333333333333,6,False,True,dual_only,"(0.8,1.0]","(0,0.2]",6+
abundance,scarcity,1,0,1,9,1.0,0.16666666666666666,1,False,True,dual_only,"(0.8,1.0]","(0,0.2]",1
abundant,big,0,0,0,7,0.875,0.125,5,True,True,both,"(0.8,1.0]","(0,0.2]",3-5
abundant,luxuriant,0,0,0,5,0.5555555555555556,0.4,1,True,True,both,"(0.4,0.6]","(0.2,0.4]",1
