language,basis,bin,n,bert_acc,dual_acc,dual_only,bert_only,both,neither
english,label,0,1959,0.7075038284839203,0.8693210821847882,463,146,1240,110
english,label,1,2007,0.5899352267065272,0.8933731938216243,692,83,1101,131
english,edit_distance_norm,0,0,,,0,0,0,0
english,edit_distance_norm,"(0,0.2]",209,0.8708133971291866,0.9282296650717703,21,9,173,6
english,edit_distance_norm,"(0.2,0.4]",366,0.8060109289617486,0.9316939890710383,64,18,277,7
english,edit_distance_norm,"(0.4,0.6]",402,0.6293532338308457,0.8606965174129353,115,22,231,34
english,edit_distance_norm,"(0.6,0.8]",984,0.6219512195121951,0.8556910569105691,300,70,542,72
english,edit_distance_norm,"(0.8,1.0]",2005,0.6124688279301745,0.8842892768079801,655,110,1118,122
english,char_jaccard,0,379,0.6015831134564644,0.8865435356200527,134,26,202,17
english,char_jaccard,"(0,0.2]",1086,0.6095764272559853,0.8812154696132597,352,57,605,72
english,char_jaccard,"(0.2,0.4]",1340,0.6223880597014926,0.8656716417910447,410,84,750,96
english,char_jaccard,"(0.4,0.6]",590,0.6677966101694915,0.8779661016949153,158,34,360,38
english,char_jaccard,"(0.6,0.8]",333,0.7447447447447447,0.918918918918919,71,13,235,14
english,char_jaccard,"(0.8,1.0]",238,0.8571428571428571,0.9201680672268907,30,15,189,4
english,len_diff,0,651,0.6267281105990783,0.8863287250384024,205,36,372,38
english,len_diff,1,1049,0.6453765490943756,0.8760724499523356,302,60,617,70
english,len_diff,2,973,0.68448098663926,0.880781089414183,255,64,602,52
english,len_diff,3-5,1116,0.6478494623655914,0.8853046594982079,328,63,660,65
english,len_diff,6+,177,0.5423728813559322,0.8757062146892656,65,6,90,16
