language,basis,bin,n,bert_acc,dual_acc,dual_only,bert_only,both,neither
english,label,0,1959,0.7075038284839203,0.8693210821847882,463,146,1240,110
english,label,1,2007,0.5899352267065272,0.8933731938216243,692,83,1101,131
english,edit_distance_norm,0,0,,,0,0,0,0
english,edit_distance_norm,"(0,0.2]",209,0.8708133971291866,0.9282296650717703,21,9,173,6
english,edit_distance_norm,"(0.2,0.4]",366,0.8060109289617486,0.9316939890710383,64,18,277,7
english,edit_distance_norm,"(0.4,0.6]",402,0.6293532338308457,0.8606965174129353,115,22,231,34
english,edit_distance_norm,"(0.6,0.8]",984,0.6219512195121951,0.8556910569105691,300,70,542,72
english,edit_distance_norm,"(0.8,1.0]",2005,0.6124688279301745,0.8842892768079801,655,110,1118,122
english,char_jaccard,0,379,0.6015831134564644,0.8865435356200527,134,26,202,17
english,char_jaccard,"(0,0.2]",1086,0.6095764272559853,0.8812154696132597,352,57,605,72
english,char_jaccard,"(0.2,0.4]",1340,0.6223880597014926,0.8656716417910447,410,84,750,96
english,char_jaccard,"(0.4,0.6]",590,0.6677966101694915,0.8779661016949153,158,34,360,38
english,char_jaccard,"(0.6,0.8]",333,0.7447447447447447,0.918918918918919,71,13,235,14
english,char_jaccard,"(0.8,1.0]",238,0.8571428571428571,0.9201680672268907,30,15,189,4
english,len_diff,0,651,0.6267281105990783,0.8863287250384024,205,36,372,38
english,len_diff,1,1049,0.6453765490943756,0.8760724499523356,302,60,617,70
english,len_diff,2,973,0.68448098663926,0.880781089414183,255,64,602,52
english,len_diff,3-5,1116,0.6478494623655914,0.8853046594982079,328,63,660,65
english,len_diff,6+,177,0.5423728813559322,0.8757062146892656,65,6,90,16
dutch,label,0,186,0.6559139784946236,0.7150537634408602,36,25,97,28
dutch,label,1,165,0.6484848484848484,0.7333333333333333,41,27,80,17
dutch,edit_distance_norm,0,0,,,0,0,0,0
dutch,edit_distance_norm,"(0,0.2]",36,0.8333333333333334,0.75,5,8,22,1
dutch,edit_distance_norm,"(0.2,0.4]",59,0.6610169491525424,0.711864406779661,10,7,32,10
dutch,edit_distance_norm,"(0.4,0.6]",64,0.65625,0.78125,18,10,32,4
dutch,edit_distance_norm,"(0.6,0.8]",96,0.5833333333333334,0.71875,25,12,44,15
dutch,edit_distance_norm,"(0.8,1.0]",96,0.6458333333333334,0.6875,19,15,47,15
dutch,char_jaccard,0,13,0.5384615384615384,0.7692307692307693,5,2,5,1
dutch,char_jaccard,"(0,0.2]",67,0.582089552238806,0.7164179104477612,17,8,31,11
dutch,char_jaccard,"(0.2,0.4]",94,0.6382978723404256,0.7446808510638298,23,13,47,11
dutch,char_jaccard,"(0.4,0.6]",77,0.6103896103896104,0.6623376623376623,17,13,34,13
dutch,char_jaccard,"(0.6,0.8]",50,0.68,0.76,11,7,27,5
dutch,char_jaccard,"(0.8,1.0]",50,0.84,0.74,4,9,33,4
dutch,len_diff,0,38,0.6052631578947368,0.7894736842105263,12,5,18,3
dutch,len_diff,1,92,0.6413043478260869,0.7065217391304348,16,10,49,17
dutch,len_diff,2,118,0.7203389830508474,0.711864406779661,23,24,61,10
dutch,len_diff,3-5,84,0.5952380952380952,0.7023809523809523,20,11,39,14
dutch,len_diff,6+,19,0.631578947368421,0.8421052631578947,6,2,10,1
french,label,0,52,0.7307692307692307,0.5769230769230769,6,14,24,8
french,label,1,54,0.4444444444444444,0.8888888888888888,25,1,23,5
french,edit_distance_norm,0,0,,,0,0,0,0
french,edit_distance_norm,"(0,0.2]",15,0.4666666666666667,0.9333333333333333,7,0,7,1
french,edit_distance_norm,"(0.2,0.4]",26,0.5769230769230769,0.8076923076923077,7,1,14,4
french,edit_distance_norm,"(0.4,0.6]",24,0.7083333333333334,0.75,5,4,13,2
french,edit_distance_norm,"(0.6,0.8]",17,0.47058823529411764,0.6470588235294118,5,2,6,4
french,edit_distance_norm,"(0.8,1.0]",24,0.625,0.5833333333333334,7,8,7,2
french,char_jaccard,0,3,0.6666666666666666,1.0,1,0,2,0
french,char_jaccard,"(0,0.2]",13,0.46153846153846156,0.6153846153846154,5,3,3,2
french,char_jaccard,"(0.2,0.4]",22,0.7272727272727273,0.5909090909090909,3,6,10,3
french,char_jaccard,"(0.4,0.6]",30,0.6,0.7333333333333333,8,4,14,4
french,char_jaccard,"(0.6,0.8]",18,0.4444444444444444,0.7222222222222222,6,1,7,4
french,char_jaccard,"(0.8,1.0]",20,0.6,0.95,8,1,11,0
french,len_diff,0,24,0.7083333333333334,0.7916666666666666,5,3,14,2
french,len_diff,1,18,0.5555555555555556,0.5555555555555556,5,5,5,3
french,len_diff,2,38,0.5,0.8421052631578947,15,2,17,4
french,len_diff,3-5,24,0.625,0.7083333333333334,6,4,11,3
french,len_diff,6+,2,0.5,0.0,0,1,0,1
italian,label,0,86,0.686046511627907,0.7906976744186046,15,6,53,12
italian,label,1,90,0.6666666666666666,0.6777777777777778,13,12,48,17
italian,edit_distance_norm,0,0,,,0,0,0,0
italian,edit_distance_norm,"(0,0.2]",58,0.8103448275862069,0.8275862068965517,5,4,43,6
italian,edit_distance_norm,"(0.2,0.4]",47,0.5957446808510638,0.6382978723404256,11,9,19,8
italian,edit_distance_norm,"(0.4,0.6]",22,0.6363636363636364,0.6818181818181818,3,2,12,5
italian,edit_distance_norm,"(0.6,0.8]",22,0.6363636363636364,0.7727272727272727,4,1,13,4
italian,edit_distance_norm,"(0.8,1.0]",27,0.5925925925925926,0.7037037037037037,5,2,14,6
italian,char_jaccard,0,1,1.0,1.0,0,0,1,0
italian,char_jaccard,"(0,0.2]",19,0.5263157894736842,0.7894736842105263,6,1,9,3
italian,char_jaccard,"(0.2,0.4]",31,0.6774193548387096,0.6774193548387096,2,2,19,8
italian,char_jaccard,"(0.4,0.6]",17,0.5882352941176471,0.7058823529411765,3,1,9,4
italian,char_jaccard,"(0.6,0.8]",47,0.5531914893617021,0.5957446808510638,12,10,16,9
italian,char_jaccard,"(0.8,1.0]",61,0.8360655737704918,0.8524590163934426,5,4,47,5
italian,len_diff,0,20,0.7,0.75,4,3,11,2
italian,len_diff,1,33,0.5454545454545454,0.7575757575757576,7,0,18,8
italian,len_diff,2,74,0.7432432432432432,0.6621621621621622,4,10,45,15
italian,len_diff,3-5,45,0.6222222222222222,0.8222222222222222,13,4,24,4
italian,len_diff,6+,4,1.0,0.75,0,1,3,0
russian,label,0,77,0.7142857142857143,0.6883116883116883,9,11,44,13
russian,label,1,103,0.6213592233009708,0.7669902912621359,21,6,58,18
russian,edit_distance_norm,0,0,,,0,0,0,0
russian,edit_distance_norm,"(0,0.2]",35,0.8857142857142857,0.8857142857142857,1,1,30,3
russian,edit_distance_norm,"(0.2,0.4]",28,0.6428571428571429,0.75,5,2,16,5
russian,edit_distance_norm,"(0.4,0.6]",31,0.6129032258064516,0.7096774193548387,7,4,15,5
russian,edit_distance_norm,"(0.6,0.8]",41,0.5853658536585366,0.7560975609756098,10,3,21,7
russian,edit_distance_norm,"(0.8,1.0]",45,0.6,0.6,7,7,20,11
russian,char_jaccard,0,6,0.6666666666666666,0.5,0,1,3,2
russian,char_jaccard,"(0,0.2]",27,0.5555555555555556,0.7037037037037037,8,4,11,4
russian,char_jaccard,"(0.2,0.4]",57,0.543859649122807,0.6842105263157895,13,5,26,13
russian,char_jaccard,"(0.4,0.6]",27,0.7037037037037037,0.7037037037037037,4,4,15,4
russian,char_jaccard,"(0.6,0.8]",31,0.6774193548387096,0.7096774193548387,4,3,18,6
russian,char_jaccard,"(0.8,1.0]",32,0.90625,0.9375,1,0,29,2
russian,len_diff,0,23,0.5652173913043478,0.4782608695652174,3,5,8,7
russian,len_diff,1,45,0.5777777777777777,0.7555555555555555,12,4,22,7
russian,len_diff,2,63,0.7777777777777778,0.8571428571428571,8,3,46,6
russian,len_diff,3-5,39,0.5897435897435898,0.6666666666666666,7,4,19,9
russian,len_diff,6+,10,0.8,0.7,0,1,7,2
spanish,label,0,90,0.7222222222222222,0.6777777777777778,9,13,52,16
