language,basis,bin,n,bert_acc,dual_acc,dual_only,bert_only,both,neither
french,label,0,52,0.7307692307692307,0.5769230769230769,6,14,24,8
french,label,1,54,0.4444444444444444,0.8888888888888888,25,1,23,5
french,edit_distance_norm,0,0,,,0,0,0,0
french,edit_distance_norm,"(0,0.2]",15,0.4666666666666667,0.9333333333333333,7,0,7,1
french,edit_distance_norm,"(0.2,0.4]",26,0.5769230769230769,0.8076923076923077,7,1,14,4
french,edit_distance_norm,"(0.4,0.6]",24,0.7083333333333334,0.75,5,4,13,2
french,edit_distance_norm,"(0.6,0.8]",17,0.47058823529411764,0.6470588235294118,5,2,6,4
french,edit_distance_norm,"(0.8,1.0]",24,0.625,0.5833333333333334,7,8,7,2
french,char_jaccard,0,3,0.6666666666666666,1.0,1,0,2,0
french,char_jaccard,"(0,0.2]",13,0.46153846153846156,0.6153846153846154,5,3,3,2
french,char_jaccard,"(0.2,0.4]",22,0.7272727272727273,0.5909090909090909,3,6,10,3
french,char_jaccard,"(0.4,0.6]",30,0.6,0.7333333333333333,8,4,14,4
french,char_jaccard,"(0.6,0.8]",18,0.4444444444444444,0.7222222222222222,6,1,7,4
french,char_jaccard,"(0.8,1.0]",20,0.6,0.95,8,1,11,0
french,len_diff,0,24,0.7083333333333334,0.7916666666666666,5,3,14,2
french,len_diff,1,18,0.5555555555555556,0.5555555555555556,5,5,5,3
french,len_diff,2,38,0.5,0.8421052631578947,15,2,17,4
french,len_diff,3-5,24,0.625,0.7083333333333334,6,4,11,3
french,len_diff,6+,2,0.5,0.0,0,1,0,1
