language,basis,bin,n,bert_acc,dual_acc,dual_only,bert_only,both,neither
german,label,0,155,0.7032258064516129,0.8451612903225807,31,9,100,15
german,label,1,157,0.5732484076433121,0.6815286624203821,40,23,67,27
german,edit_distance_norm,0,0,,,0,0,0,0
german,edit_distance_norm,"(0,0.2]",30,0.9,0.8,2,5,22,1
german,edit_distance_norm,"(0.2,0.4]",51,0.6666666666666666,0.6470588235294118,7,8,26,10
german,edit_distance_norm,"(0.4,0.6]",55,0.6,0.7818181818181819,15,5,28,7
german,edit_distance_norm,"(0.6,0.8]",72,0.6111111111111112,0.7916666666666666,20,7,37,8
german,edit_distance_norm,"(0.8,1.0]",104,0.5865384615384616,0.7788461538461539,27,7,54,16
german,char_jaccard,0,8,0.625,0.875,2,0,5,1
german,char_jaccard,"(0,0.2]",62,0.6129032258064516,0.7903225806451613,16,5,33,8
german,char_jaccard,"(0.2,0.4]",92,0.5978260869565217,0.8043478260869565,25,6,49,12
german,char_jaccard,"(0.4,0.6]",68,0.5735294117647058,0.75,18,6,33,11
german,char_jaccard,"(0.6,0.8]",50,0.74,0.72,7,8,29,6
german,char_jaccard,"(0.8,1.0]",32,0.78125,0.65625,3,7,18,4
german,len_diff,0,49,0.6326530612244898,0.6938775510204082,10,7,24,8
german,len_diff,1,84,0.6190476190476191,0.7380952380952381,16,6,46,16
german,len_diff,2,70,0.7142857142857143,0.7571428571428571,14,11,39,6
german,len_diff,3-5,75,0.5866666666666667,0.7866666666666666,22,7,37,9
german,len_diff,6+,34,0.6470588235294118,0.8823529411764706,9,1,21,3
