word1,word2,label,bert_pred,dual_pred,edit_distance,edit_distance_norm,char_jaccard,len_diff,bert_correct,dual_correct,category,ed_bin,jaccard_bin,len_diff_bin
abbasso,evviva,1,0,0,7,1.0,0.14285714285714285,1,False,False,neither,"(0.8,1.0]","(0,0.2]",1
abbonato,abbonatosi,0,0,0,2,0.2,0.7142857142857143,2,True,True,both,"(0,0.2]","(0.6,0.8]",2
aberlusconiano,berlusconiano,1,0,0,1,0.07142857142857142,1.0,1,False,False,neither,"(0,0.2]","(0.8,1.0]",1
accellana,mistolana,0,0,1,5,0.5555555555555556,0.3,0,True,False,bert_only,"(0.4,0.6]","(0.2,0.4]",0
accorato,accoratosi,0,0,0,2,0.2,0.7142857142857143,2,True,True,both,"(0,0.2]","(0.6,0.8]",2
accordo,pattuizione,0,1,0,9,0.8181818181818182,0.16666666666666666,4,False,True,dual_only,"(0.8,1.0]","(0,0.2]",3-5
accurato,inaccurato,1,1,1,2,0.2,0.75,2,True,True,both,"(0,0.2]","(0.6,0.8]",2
addormentare,addormire,0,0,0,4,0.3333333333333333,0.6666666666666666,3,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
adeguatezza,inadeguatezza,1,1,1,2,0.15384615384615385,0.7777777777777778,2,True,True,both,"(0,0.2]","(0.6,0.8]",2
adolescente,adolescenziale,0,0,1,4,0.2857142857142857,0.7272727272727273,3,True,False,bert_only,"(0.2,0.4]","(0.6,0.8]",3-5
affidabilità,inaffidabilità,1,1,1,2,0.14285714285714285,0.8888888888888888,2,True,True,both,"(0,0.2]","(0.8,1.0]",2
affogare,annegare,0,0,0,3,0.375,0.5714285714285714,0,True,True,both,"(0.2,0.4]","(0.4,0.6]",0
afi,ipa,0,0,0,3,1.0,0.5,0,True,True,both,"(0.8,1.0]","(0.4,0.6]",0
algore,gelo,0,0,1,5,0.8333333333333334,0.6666666666666666,2,True,False,bert_only,"(0.8,1.0]","(0.6,0.8]",2
alogico,logico,1,1,1,1,0.14285714285714285,0.8333333333333334,1,True,True,both,"(0,0.2]","(0.8,1.0]",1
amente,demente,0,1,0,2,0.2857142857142857,0.6666666666666666,1,False,True,dual_only,"(0.2,0.4]","(0.6,0.8]",1
angosciante,angoscioso,0,1,0,4,0.36363636363636365,0.7777777777777778,1,False,True,dual_only,"(0.2,0.4]","(0.6,0.8]",1
antecedette,antecedé,0,0,0,4,0.36363636363636365,0.8571428571428571,3,True,True,both,"(0.2,0.4]","(0.8,1.0]",3-5
anticostituzionale,costituzionale,1,1,1,4,0.2222222222222222,1.0,4,True,True,both,"(0.2,0.4]","(0.8,1.0]",3-5
antideflagrante,deflagrante,1,1,1,4,0.26666666666666666,0.9,4,True,True,both,"(0.2,0.4]","(0.8,1.0]",3-5
antimassonico,massonico,1,0,1,4,0.3076923076923077,0.875,4,False,True,dual_only,"(0.2,0.4]","(0.8,1.0]",3-5
antimonarchico,monarchico,1,1,1,4,0.2857142857142857,0.8888888888888888,4,True,True,both,"(0.2,0.4]","(0.8,1.0]",3-5
antiorario,orario,1,1,1,4,0.4,0.6666666666666666,4,True,True,both,"(0.2,0.4]","(0.6,0.8]",3-5
