language,basis,bin,n,bert_acc,dual_acc,dual_only,bert_only,both,neither
italian,label,0,86,0.686046511627907,0.7906976744186046,15,6,53,12
italian,label,1,90,0.6666666666666666,0.6777777777777778,13,12,48,17
italian,edit_distance_norm,0,0,,,0,0,0,0
italian,edit_distance_norm,"(0,0.2]",58,0.8103448275862069,0.8275862068965517,5,4,43,6
italian,edit_distance_norm,"(0.2,0.4]",47,0.5957446808510638,0.6382978723404256,11,9,19,8
italian,edit_distance_norm,"(0.4,0.6]",22,0.6363636363636364,0.6818181818181818,3,2,12,5
italian,edit_distance_norm,"(0.6,0.8]",22,0.6363636363636364,0.7727272727272727,4,1,13,4
italian,edit_distance_norm,"(0.8,1.0]",27,0.5925925925925926,0.7037037037037037,5,2,14,6
italian,char_jaccard,0,1,1.0,1.0,0,0,1,0
italian,char_jaccard,"(0,0.2]",19,0.5263157894736842,0.7894736842105263,6,1,9,3
italian,char_jaccard,"(0.2,0.4]",31,0.6774193548387096,0.6774193548387096,2,2,19,8
italian,char_jaccard,"(0.4,0.6]",17,0.5882352941176471,0.7058823529411765,3,1,9,4
italian,char_jaccard,"(0.6,0.8]",47,0.5531914893617021,0.5957446808510638,12,10,16,9
italian,char_jaccard,"(0.8,1.0]",61,0.8360655737704918,0.8524590163934426,5,4,47,5
italian,len_diff,0,20,0.7,0.75,4,3,11,2
italian,len_diff,1,33,0.5454545454545454,0.7575757575757576,7,0,18,8
italian,len_diff,2,74,0.7432432432432432,0.6621621621621622,4,10,45,15
italian,len_diff,3-5,45,0.6222222222222222,0.8222222222222222,13,4,24,4
italian,len_diff,6+,4,1.0,0.75,0,1,3,0
