language,basis,bin,n,bert_acc,dual_acc,dual_only,bert_only,both,neither
portuguese,label,0,124,0.6854838709677419,0.6612903225806451,18,21,64,21
portuguese,label,1,144,0.5902777777777778,0.8402777777777778,47,11,74,12
portuguese,edit_distance_norm,0,0,,,0,0,0,0
portuguese,edit_distance_norm,"(0,0.2]",21,0.7619047619047619,0.7619047619047619,3,3,13,2
portuguese,edit_distance_norm,"(0.2,0.4]",38,0.631578947368421,0.7105263157894737,8,5,19,6
portuguese,edit_distance_norm,"(0.4,0.6]",47,0.6170212765957447,0.7446808510638298,12,6,23,6
portuguese,edit_distance_norm,"(0.6,0.8]",78,0.5897435897435898,0.7564102564102564,20,7,39,12
portuguese,edit_distance_norm,"(0.8,1.0]",84,0.6547619047619048,0.7857142857142857,22,11,44,7
portuguese,char_jaccard,0,13,0.6153846153846154,0.8461538461538461,4,1,7,1
portuguese,char_jaccard,"(0,0.2]",47,0.6595744680851063,0.7446808510638298,10,6,25,6
portuguese,char_jaccard,"(0.2,0.4]",98,0.6530612244897959,0.7959183673469388,24,10,54,10
portuguese,char_jaccard,"(0.4,0.6]",53,0.5283018867924528,0.6792452830188679,15,7,21,10
portuguese,char_jaccard,"(0.6,0.8]",33,0.6666666666666666,0.7878787878787878,8,4,18,3
portuguese,char_jaccard,"(0.8,1.0]",24,0.7083333333333334,0.7083333333333334,4,4,13,3
portuguese,len_diff,0,40,0.7,0.725,9,8,20,3
portuguese,len_diff,1,79,0.569620253164557,0.7468354430379747,22,8,37,12
portuguese,len_diff,2,71,0.6901408450704225,0.8169014084507042,17,8,41,5
portuguese,len_diff,3-5,66,0.6212121212121212,0.7272727272727273,14,7,34,11
portuguese,len_diff,6+,12,0.5833333333333334,0.75,3,1,6,2
