language,basis,bin,n,bert_acc,dual_acc,dual_only,bert_only,both,neither
russian,label,0,77,0.7142857142857143,0.6883116883116883,9,11,44,13
russian,label,1,103,0.6213592233009708,0.7669902912621359,21,6,58,18
russian,edit_distance_norm,0,0,,,0,0,0,0
russian,edit_distance_norm,"(0,0.2]",35,0.8857142857142857,0.8857142857142857,1,1,30,3
russian,edit_distance_norm,"(0.2,0.4]",28,0.6428571428571429,0.75,5,2,16,5
russian,edit_distance_norm,"(0.4,0.6]",31,0.6129032258064516,0.7096774193548387,7,4,15,5
russian,edit_distance_norm,"(0.6,0.8]",41,0.5853658536585366,0.7560975609756098,10,3,21,7
russian,edit_distance_norm,"(0.8,1.0]",45,0.6,0.6,7,7,20,11
russian,char_jaccard,0,6,0.6666666666666666,0.5,0,1,3,2
russian,char_jaccard,"(0,0.2]",27,0.5555555555555556,0.7037037037037037,8,4,11,4
russian,char_jaccard,"(0.2,0.4]",57,0.543859649122807,0.6842105263157895,13,5,26,13
russian,char_jaccard,"(0.4,0.6]",27,0.7037037037037037,0.7037037037037037,4,4,15,4
russian,char_jaccard,"(0.6,0.8]",31,0.6774193548387096,0.7096774193548387,4,3,18,6
russian,char_jaccard,"(0.8,1.0]",32,0.90625,0.9375,1,0,29,2
russian,len_diff,0,23,0.5652173913043478,0.4782608695652174,3,5,8,7
russian,len_diff,1,45,0.5777777777777777,0.7555555555555555,12,4,22,7
russian,len_diff,2,63,0.7777777777777778,0.8571428571428571,8,3,46,6
russian,len_diff,3-5,39,0.5897435897435898,0.6666666666666666,7,4,19,9
russian,len_diff,6+,10,0.8,0.7,0,1,7,2
