language,basis,bin,n,bert_acc,dual_acc,dual_only,bert_only,both,neither
spanish,label,0,90,0.7222222222222222,0.6777777777777778,9,13,52,16
spanish,label,1,80,0.675,0.8125,17,6,48,9
spanish,edit_distance_norm,0,0,,,0,0,0,0
spanish,edit_distance_norm,"(0,0.2]",27,0.8888888888888888,0.8888888888888888,1,1,23,2
spanish,edit_distance_norm,"(0.2,0.4]",51,0.7058823529411765,0.7058823529411765,7,7,29,8
spanish,edit_distance_norm,"(0.4,0.6]",22,0.6363636363636364,0.7727272727272727,6,3,11,2
spanish,edit_distance_norm,"(0.6,0.8]",36,0.6666666666666666,0.6666666666666666,5,5,19,7
spanish,edit_distance_norm,"(0.8,1.0]",34,0.6176470588235294,0.7352941176470589,7,3,18,6
spanish,char_jaccard,0,2,0.5,1.0,1,0,1,0
spanish,char_jaccard,"(0,0.2]",23,0.5217391304347826,0.6086956521739131,4,2,10,7
spanish,char_jaccard,"(0.2,0.4]",41,0.7560975609756098,0.7804878048780488,6,5,26,4
spanish,char_jaccard,"(0.4,0.6]",30,0.6333333333333333,0.6333333333333333,5,5,14,6
spanish,char_jaccard,"(0.6,0.8]",41,0.6829268292682927,0.6829268292682927,6,6,22,7
spanish,char_jaccard,"(0.8,1.0]",33,0.8484848484848485,0.9393939393939394,4,1,27,1
spanish,len_diff,0,14,0.5714285714285714,0.6428571428571429,3,2,6,3
spanish,len_diff,1,30,0.7666666666666667,0.8333333333333334,4,2,21,3
spanish,len_diff,2,67,0.7611940298507462,0.8955223880597015,11,2,49,5
spanish,len_diff,3-5,48,0.6458333333333334,0.5416666666666666,5,10,21,12
spanish,len_diff,6+,11,0.5454545454545454,0.5454545454545454,3,3,3,2
